[10:52:45] [系统] 已完成一键重置：波形已清空 -> Peak已归零 -> 日志已刷新。
[10:52:46] [RUNNING] Avg:0c (ΔH:[0,0,0,0]) | MaxDiff:0c (Limit:750c) | V:[373,325,382,383]RPM | I:[0.00,0.00,0.65,0.65]A
[10:52:46] [RUNNING] Avg:-1c (ΔH:[0,0,-2,-2]) | MaxDiff:2c (Limit:750c) | V:[482,433,489,490]RPM | I:[0.00,0.00,0.70,0.67]A
[10:52:46] [RUNNING] Avg:-2c (ΔH:[0,0,-2,-5]) | MaxDiff:5c (Limit:750c) | V:[590,542,598,597]RPM | I:[0.00,0.00,0.70,0.67]A
[10:52:46] [RUNNING] Avg:-3c (ΔH:[0,0,-5,-8]) | MaxDiff:8c (Limit:750c) | V:[699,651,705,704]RPM | I:[0.00,0.00,0.70,0.67]A
[10:52:46] [RUNNING] Avg:-7c (ΔH:[0,0,-14,-15]) | MaxDiff:15c (Limit:750c) | V:[809,761,810,810]RPM | I:[0.00,0.00,0.70,0.67]A
[10:52:46] [RUNNING] Avg:-12c (ΔH:[0,0,-23,-23]) | MaxDiff:23c (Limit:750c) | V:[920,872,915,916]RPM | I:[0.00,0.00,0.70,0.67]A
[10:52:46] [RUNNING] Avg:-20c (ΔH:[0,0,-40,-38]) | MaxDiff:40c (Limit:750c) | V:[1033,985,1017,1019]RPM | I:[0.00,0.00,0.70,0.67]A
[10:52:46] [RUNNING] Avg:-26c (ΔH:[0,0,-53,-51]) | MaxDiff:53c (Limit:750c) | V:[1145,1097,1121,1123]RPM | I:[0.00,0.00,0.70,0.67]A
[10:52:46] [RUNNING] Avg:-36c (ΔH:[0,0,-74,-72]) | MaxDiff:74c (Limit:750c) | V:[1260,1211,1223,1225]RPM | I:[0.00,0.00,0.70,0.67]A
[10:52:46] [RUNNING] Avg:-44c (ΔH:[0,0,-90,-88]) | MaxDiff:90c (Limit:750c) | V:[1373,1324,1326,1328]RPM | I:[0.00,0.00,0.51,0.50]A
[10:52:46] [RUNNING] Avg:-58c (ΔH:[0,0,-118,-115]) | MaxDiff:118c (Limit:750c) | V:[1489,1441,1425,1427]RPM | I:[0.00,0.00,0.51,0.50]A
[10:52:46] [RUNNING] Avg:-112c (ΔH:[0,-178,-136,-134]) | MaxDiff:178c (Limit:750c) | V:[1630,1475,1554,1556]RPM | I:[0.00,0.00,0.51,0.50]A
[10:52:46] [RUNNING] Avg:-120c (ΔH:[0,-189,-147,-145]) | MaxDiff:189c (Limit:750c) | V:[1690,1527,1606,1608]RPM | I:[0.00,0.00,0.51,0.50]A
[10:52:46] [RUNNING] Avg:-139c (ΔH:[0,-189,-185,-183]) | MaxDiff:189c (Limit:750c) | V:[1810,1646,1702,1704]RPM | I:[0.00,0.00,0.51,0.50]A
[10:52:46] [RUNNING] Avg:-152c (ΔH:[0,-189,-210,-208]) | MaxDiff:210c (Limit:750c) | V:[1927,1761,1802,1804]RPM | I:[0.00,0.00,0.51,0.50]A
[10:52:46] [RUNNING] Avg:-172c (ΔH:[0,-189,-250,-248]) | MaxDiff:250c (Limit:750c) | V:[2048,1881,1898,1900]RPM | I:[0.00,0.00,0.60,0.57]A
[10:52:46] [RUNNING] Avg:-186c (ΔH:[0,-189,-278,-277]) | MaxDiff:278c (Limit:750c) | V:[2166,1997,1997,1998]RPM | I:[0.00,0.00,0.60,0.57]A
[10:52:46] [RUNNING] Avg:-209c (ΔH:[0,-189,-324,-322]) | MaxDiff:324c (Limit:750c) | V:[2289,2119,2090,2092]RPM | I:[0.00,0.00,0.60,0.57]A
[10:52:46] [RUNNING] Avg:-225c (ΔH:[0,-189,-356,-355]) | MaxDiff:356c (Limit:750c) | V:[2409,2237,2187,2189]RPM | I:[0.00,0.00,0.60,0.57]A
[10:52:46] [RUNNING] Avg:-250c (ΔH:[0,-189,-407,-405]) | MaxDiff:407c (Limit:750c) | V:[2534,2360,2279,2281]RPM | I:[0.00,0.00,0.60,0.57]A
[10:52:46] [RUNNING] Avg:-268c (ΔH:[0,-189,-442,-441]) | MaxDiff:442c (Limit:750c) | V:[2655,2479,2375,2377]RPM | I:[0.00,0.00,0.60,0.57]A
[10:52:46] [RUNNING] Avg:-296c (ΔH:[0,-189,-497,-496]) | MaxDiff:497c (Limit:750c) | V:[2781,2605,2465,2467]RPM | I:[0.00,0.00,0.60,0.57]A
[10:52:46] [RUNNING] Avg:-315c (ΔH:[0,-189,-536,-534]) | MaxDiff:536c (Limit:750c) | V:[2903,2725,2560,2562]RPM | I:[0.00,0.00,0.60,0.57]A
[10:52:46] [RUNNING] Avg:-344c (ΔH:[0,-189,-595,-594]) | MaxDiff:595c (Limit:750c) | V:[3000,2820,2616,2618]RPM | I:[0.00,0.00,0.70,0.59]A
[10:52:46] [RUNNING] Avg:-658c (ΔH:[-666,-694,-637,-635]) | MaxDiff:59c (Limit:750c) | V:[2921,2846,2918,2920]RPM | I:[0.00,0.00,0.70,0.59]A
[10:52:46] [RUNNING] Avg:-710c (ΔH:[-685,-760,-697,-698]) | MaxDiff:75c (Limit:750c) | V:[3000,2896,2972,2972]RPM | I:[0.69,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-769c (ΔH:[-747,-821,-754,-753]) | MaxDiff:74c (Limit:750c) | V:[3000,2896,2975,2977]RPM | I:[0.69,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-798c (ΔH:[-796,-845,-776,-775]) | MaxDiff:70c (Limit:750c) | V:[3000,2911,2991,2993]RPM | I:[0.69,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-827c (ΔH:[-844,-868,-799,-798]) | MaxDiff:70c (Limit:750c) | V:[2991,2917,2998,3000]RPM | I:[0.69,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-845c (ΔH:[-844,-892,-822,-821]) | MaxDiff:71c (Limit:750c) | V:[3000,2911,2993,2994]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-892c (ΔH:[-892,-939,-870,-869]) | MaxDiff:70c (Limit:750c) | V:[3000,2911,2993,2994]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-944c (ΔH:[-955,-985,-919,-918]) | MaxDiff:67c (Limit:750c) | V:[2996,2918,2998,3000]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-982c (ΔH:[-988,-1023,-958,-960]) | MaxDiff:65c (Limit:750c) | V:[3000,2918,2998,2998]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-1012c (ΔH:[-1018,-1052,-988,-990]) | MaxDiff:64c (Limit:750c) | V:[3000,2918,2998,2998]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-1026c (ΔH:[-1048,-1052,-988,-1017]) | MaxDiff:64c (Limit:750c) | V:[2983,2920,3000,2983]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-1066c (ΔH:[-1072,-1105,-1042,-1044]) | MaxDiff:63c (Limit:750c) | V:[3000,2919,2998,2998]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-1159c (ΔH:[-1171,-1183,-1141,-1140]) | MaxDiff:43c (Limit:750c) | V:[2995,2930,2998,3000]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-1186c (ΔH:[-1171,-1230,-1171,-1170]) | MaxDiff:60c (Limit:750c) | V:[3000,2907,2985,2986]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-1214c (ΔH:[-1215,-1254,-1195,-1194]) | MaxDiff:60c (Limit:750c) | V:[3000,2919,2997,2998]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-1238c (ΔH:[-1240,-1277,-1219,-1218]) | MaxDiff:59c (Limit:750c) | V:[3000,2920,2998,2999]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-1268c (ΔH:[-1264,-1307,-1249,-1254]) | MaxDiff:58c (Limit:750c) | V:[3000,2916,2994,2992]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-1299c (ΔH:[-1308,-1336,-1269,-1284]) | MaxDiff:67c (Limit:750c) | V:[2991,2916,3000,2992]RPM | I:[0.57,0.00,0.70,0.59]A
[10:52:47] [RUNNING] Avg:-1351c (ΔH:[-1368,-1380,-1318,-1338]) | MaxDiff:62c (Limit:750c) | V:[2984,2919,3000,2989]RPM | I:[0.57,0.00,0.70,0.56]A
[10:52:47] [RUNNING] Avg:-1410c (ΔH:[-1428,-1438,-1374,-1398]) | MaxDiff:64c (Limit:750c) | V:[2981,2917,3000,2986]RPM | I:[0.57,0.00,0.70,0.56]A
[10:52:47] [RUNNING] Avg:-1444c (ΔH:[-1449,-1473,-1428,-1427]) | MaxDiff:46c (Limit:750c) | V:[2999,2926,2998,3000]RPM | I:[0.57,0.00,0.70,0.56]A
[10:52:47] [RUNNING] Avg:-1477c (ΔH:[-1496,-1519,-1467,-1427]) | MaxDiff:92c (Limit:750c) | V:[2971,2899,2974,3000]RPM | I:[0.57,0.00,0.70,0.56]A
[10:52:47] [RUNNING] Avg:-1546c (ΔH:[-1544,-1581,-1530,-1529]) | MaxDiff:52c (Limit:750c) | V:[3000,2919,2995,2996]RPM | I:[0.57,0.00,0.70,0.56]A
[10:52:47] [RUNNING] Avg:-1571c (ΔH:[-1574,-1604,-1554,-1553]) | MaxDiff:51c (Limit:750c) | V:[2999,2923,2998,3000]RPM | I:[0.57,0.00,0.70,0.56]A
[10:52:47] [RUNNING] Avg:-1619c (ΔH:[-1622,-1642,-1593,-1619]) | MaxDiff:49c (Limit:750c) | V:[2995,2924,3000,2985]RPM | I:[0.57,0.60,0.68,0.57]A
[10:52:47] [RUNNING] Avg:-1677c (ΔH:[-1682,-1700,-1668,-1658]) | MaxDiff:42c (Limit:750c) | V:[2997,2927,2993,3000]RPM | I:[0.57,0.60,0.68,0.57]A
[10:52:47] [RUNNING] Avg:-1699c (ΔH:[-1682,-1700,-1707,-1706]) | MaxDiff:25c (Limit:750c) | V:[3000,2930,2972,2973]RPM | I:[0.57,0.60,0.68,0.57]A
[10:52:47] [RUNNING] Avg:-1748c (ΔH:[-1756,-1773,-1731,-1733]) | MaxDiff:42c (Limit:750c) | V:[2997,2928,3000,2999]RPM | I:[0.57,0.60,0.68,0.57]A
[10:52:47] [RUNNING] Avg:-1757c (ΔH:[-1756,-1773,-1767,-1733]) | MaxDiff:40c (Limit:750c) | V:[2997,2928,2978,3000]RPM | I:[0.60,0.60,0.68,0.55]A
[10:52:47] [RUNNING] Avg:-1809c (ΔH:[-1817,-1832,-1797,-1790]) | MaxDiff:42c (Limit:750c) | V:[2995,2927,2994,3000]RPM | I:[0.60,0.60,0.68,0.55]A
[10:52:47] [RUNNING] Avg:-1866c (ΔH:[-1873,-1888,-1844,-1858]) | MaxDiff:44c (Limit:750c) | V:[2994,2926,3000,2992]RPM | I:[0.60,0.60,0.68,0.55]A
[10:52:47] [RUNNING] Avg:-1902c (ΔH:[-1921,-1911,-1893,-1883]) | MaxDiff:38c (Limit:750c) | V:[2988,2935,2992,3000]RPM | I:[0.60,0.60,0.68,0.55]A
[10:52:47] [RUNNING] Avg:-1902c (ΔH:[-1921,-1911,-1893,-1883]) | MaxDiff:38c (Limit:750c) | V:[2988,2935,2992,3000]RPM | I:[0.59,0.60,0.67,0.57]A
[10:52:47] [RUNNING] Avg:-1964c (ΔH:[-1975,-1987,-1947,-1949]) | MaxDiff:40c (Limit:750c) | V:[2994,2928,3000,2999]RPM | I:[0.59,0.60,0.67,0.57]A
[10:52:47] [RUNNING] Avg:-1974c (ΔH:[-1975,-1987,-1961,-1972]) | MaxDiff:26c (Limit:750c) | V:[3000,2933,2996,2991]RPM | I:[0.59,0.60,0.67,0.57]A
