[11:35:11] [系统] 已完成一键重置：波形已清空 -> Peak已归零 -> 日志已刷新。
[11:35:12] [RUNNING] Avg:0c (ΔH:[0,0,0,0]) | MaxDiff:0c (Limit:750c) | V:[326,331,336,365]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:0c (ΔH:[0,0,0,0]) | MaxDiff:0c (Limit:750c) | V:[380,385,390,419]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-3c (ΔH:[0,-7,-2,-4]) | MaxDiff:7c (Limit:750c) | V:[490,490,499,526]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-7c (ΔH:[0,-17,-4,-7]) | MaxDiff:17c (Limit:750c) | V:[601,595,608,635]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-11c (ΔH:[0,-25,-9,-11]) | MaxDiff:25c (Limit:750c) | V:[711,700,716,743]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-19c (ΔH:[0,-41,-20,-16]) | MaxDiff:41c (Limit:750c) | V:[824,803,822,853]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-25c (ΔH:[0,-54,-31,-16]) | MaxDiff:54c (Limit:750c) | V:[936,907,927,964]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-35c (ΔH:[0,-74,-49,-16]) | MaxDiff:74c (Limit:750c) | V:[1050,1008,1030,1078]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-42c (ΔH:[0,-90,-62,-16]) | MaxDiff:90c (Limit:750c) | V:[1162,1111,1134,1191]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-54c (ΔH:[0,-115,-85,-16]) | MaxDiff:115c (Limit:750c) | V:[1278,1211,1235,1306]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-63c (ΔH:[0,-134,-102,-16]) | MaxDiff:134c (Limit:750c) | V:[1392,1312,1338,1420]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-118c (ΔH:[-112,-134,-111,-116]) | MaxDiff:23c (Limit:750c) | V:[1412,1399,1420,1447]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-137c (ΔH:[-112,-177,-144,-116]) | MaxDiff:65c (Limit:750c) | V:[1531,1492,1520,1567]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:12] [RUNNING] Avg:-146c (ΔH:[-112,-201,-155,-116]) | MaxDiff:89c (Limit:750c) | V:[1645,1591,1626,1680]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-247c (ΔH:[-240,-275,-232,-240]) | MaxDiff:43c (Limit:750c) | V:[1899,1876,1910,1936]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-260c (ΔH:[-240,-299,-260,-240]) | MaxDiff:59c (Limit:750c) | V:[1961,1924,1955,1998]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-274c (ΔH:[-240,-329,-289,-240]) | MaxDiff:89c (Limit:750c) | V:[2024,1968,2001,2061]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-282c (ΔH:[-240,-345,-304,-240]) | MaxDiff:105c (Limit:750c) | V:[2082,2017,2050,2120]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-290c (ΔH:[-240,-361,-320,-240]) | MaxDiff:121c (Limit:750c) | V:[2141,2066,2100,2179]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-298c (ΔH:[-240,-377,-336,-240]) | MaxDiff:137c (Limit:750c) | V:[2200,2115,2149,2238]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-315c (ΔH:[-240,-410,-369,-240]) | MaxDiff:170c (Limit:750c) | V:[2265,2159,2193,2302]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-323c (ΔH:[-240,-427,-386,-240]) | MaxDiff:187c (Limit:750c) | V:[2324,2207,2241,2362]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
