[16:22:27] [RUNNING] Avg:275688c (ΔH:[275725,275673,275679,275677]) | MaxDiff:52c (Limit:750c) | V:[2968,2997,3000,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:22:27] [RUNNING] Avg:275718c (ΔH:[275755,275703,275709,275707]) | MaxDiff:52c (Limit:750c) | V:[2968,2997,3000,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:22:27] [RUNNING] Avg:275756c (ΔH:[275799,275748,275739,275737]) | MaxDiff:62c (Limit:750c) | V:[2960,2988,3000,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:22:27] [RUNNING] Avg:275778c (ΔH:[275814,275763,275769,275767]) | MaxDiff:51c (Limit:750c) | V:[2969,2997,3000,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:22:27] [RUNNING] Avg:275808c (ΔH:[275844,275793,275799,275797]) | MaxDiff:51c (Limit:750c) | V:[2969,2997,3000,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:22:27] [RUNNING] Avg:275846c (ΔH:[275888,275838,275829,275827]) | MaxDiff:61c (Limit:750c) | V:[2960,2988,3000,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:22:27] [RUNNING] Avg:275868c (ΔH:[275903,275853,275859,275857]) | MaxDiff:50c (Limit:750c) | V:[2969,2997,3000,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:22:27] [RUNNING] Avg:275898c (ΔH:[275933,275883,275889,275887]) | MaxDiff:50c (Limit:750c) | V:[2969,2997,3000,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:22:27] [RUNNING] Avg:275935c (ΔH:[275977,275928,275919,275917]) | MaxDiff:60c (Limit:750c) | V:[2961,2988,3000,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:22:27] [RUNNING] Avg:275958c (ΔH:[275992,275943,275949,275947]) | MaxDiff:49c (Limit:750c) | V:[2970,2997,3000,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:22:27] [RUNNING] Avg:275988c (ΔH:[276022,275973,275979,275976]) | MaxDiff:49c (Limit:750c) | V:[2969,2997,2999,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
