[16:49:33] [RUNNING] Avg:115040c (ΔH:[115050,115039,115038,115032]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115077c (ΔH:[115094,115069,115068,115077]) | MaxDiff:26c (Limit:750c) | V:[2984,2999,3000,2994]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115100c (ΔH:[115094,115099,115098,115107]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115126c (ΔH:[115124,115129,115128,115122]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115156c (ΔH:[115154,115159,115158,115152]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115194c (ΔH:[115199,115189,115188,115199]) | MaxDiff:11c (Limit:750c) | V:[2993,2999,3000,2993]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115219c (ΔH:[115214,115218,115218,115227]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115245c (ΔH:[115244,115248,115248,115241]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115279c (ΔH:[115274,115278,115278,115287]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115306c (ΔH:[115304,115308,115308,115302]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115335c (ΔH:[115334,115338,115338,115331]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115369c (ΔH:[115379,115353,115368,115376]) | MaxDiff:26c (Limit:750c) | V:[2984,3000,2991,2986]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115399c (ΔH:[115394,115398,115398,115406]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:33] [RUNNING] Avg:115425c (ΔH:[115424,115428,115428,115421]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
